id,est,nord,lat,lon,codicechiave,id_tipologia,tipologia,id_categoria,categoria_prevalente,denominazione,indirizzo,localita,comune,provincia,numero_sedi
"5698","1721952","4772009","43.068203  ","11.725624  ","052021MA001","1","Museo","8","Specializzato","TEPOTRATOS - SCENE DEL TEATRO POPOLARE TRADIZIONALE TOSCANO","Piazza Nuova 1","Monticchiello","Pienza","SI","1"
"5700","1689743","4798438","43.314722  ","11.339461  ","052032XX011","1","Museo","5","Scienza e tecnica","SIMUS - COLLEZIONE DEGLI STRUMENTI DI FISICA","Via Roma 56","","Siena","SI","1"
"5701","1689743","4798438","43.314722  ","11.339461  ","052032XX012","1","Museo","3","Storia","SIMUS - COLLEZIONI DI PREISTORIA, ARCHEOLOGIA CLASSICA, ARCHEOLOGIA MEDIEVALE","Via Roma 56","","Siena","SI","1"
"5703","1688447","4802105","43.348043  ","11.324754  ","052032US005","1","Museo","5","Scienza e tecnica","SIMUS - MUSEO ANATOMICO LEONETTO COMPARINI","Via Aldo Moro 6","","Siena","SI","1"
"5709","1627800","4861235","43.892989  ","10.590811  ","046007PV004","3","Monumento o complesso monumentale","1","Arte","VILLA MANSI","Via delle Selvette 242","Segromigno in Monte","Capannori","LU","1"
"5710","1707767","4790112","","","052002EC001","1","Museo","1","Arte","MUSEO DELL'ABBAZIA DI MONTE OLIVETO MAGGIORE","Località Chiusure ","","Asciano","SI","1"
"5711","1672684","4849869","43.781593  ","11.145606  ","048041NW001","1","Museo","4","Storia e scienze naturali","MUSEO PALEONTOLOGICO SCIENZA DELLA TERRA DEL GAMPS","Piazza Vittorio Veneto 1","Badia a Settimo","Scandicci","FI","1"
"5712","1753743","4828775","43.568626  ","12.141739  ","051034MA002","1","Museo","1","Arte","MUSEO 'BERNARDINI-FATTI' DELLA VETRATA ANTICA","Via Giovanni Buitoni 9","","Sansepolcro","AR","1"
"5713","1736610","4760792","42.962904  ","11.900673  ","052008EP002","1","Museo","2","Archeologia","MUSEO CIVICO PER LA PREISTORIA DEL MONTE CETONA","Via Roma 37","","Cetona","SI","1"
"5719","1577376","4895368","44.207261  ","9.9681293  ","045001NW001","3","Monumento o complesso monumentale","1","Arte","ABBAZIA DI SAN CAPRASIO. SITO ARCHEOLOGICO E SALE ESPOSITIVE","Piazza Abbazia ","","Aulla","MS","1"
"5720","1742892","4795898","43.276612  ","11.992954  ","051017EP001","3","Monumento o complesso monumentale","1","Arte","FORTEZZA MEDICEA DEL GIRIFALCO","Via Fortezza ","","Cortona","AR","1"
"5721","1722914","4794990","43.274620  ","11.746682  ","051021NW001","1","Museo","1","Arte","ORATORIO DELLA MISERICORDIA E MOSTRA RELIGIOSA DELLA CARITA'","Via della Misericordia 14","","Lucignano","AR","1"
"5722","1652051","4795684","43.298492  ","10.874181  ","050027EP001","1","Museo","1","Arte","CASA 'BICOCCHI'","Via Roncalli 20","","Pomarance","PI","1"
"5729","1735430","4758585","42.943420  ","11.885293  ","052008EP001","2","Siti archeologici","2","Archeologia","PARCO ARCHEOLOGICO NATURALISTICO DI BELVERDE E ARCHEODROMO","Strada della Montagna ","Belverde","Cetona","SI","1"
"5731","1598159","4872065","","","046028EP001","1","Museo","6","Etnografia e antropologia","MUSEO DEL LAVORO E DELLE TRADIZIONI POPOLARI DELLA VERSILIA STORICA","Via del Palazzo 358","","Seravezza","LU","1"
