ENTE,NOMESITO,NOMEINCODICE,INDIRIZZOIMPIANTO,CAPIMPIANTO,LOCALITAIMPIANTO,PROVINCIAIMPIANTO,lat,lon
Provincia,FARMACIA 1 OSTE - FARMACOM3,PRATOWIFI-149,VIA SCARPETTINI 370/1,59013,OSTE MONTEMURLO,PO,43.908595,11.028984
Provincia,FARMACIA VERNIO - FARMACOM4,PRATOWIFI-150,VIA ROMA 40,59024,S. QUIRICO DI VERNIO,PO,44.052467,11.15579
Provincia,FARMACIA CARMIGNANO - FARMACOM5,PRATOWIFI-151,VIA LAME 3,59011,SEANO CARMIGNANO,PO,43.828143,11.016131
Provincia,Palazzo Provincia - jolly12,PRATOWIFI-12,VIA RICASOLI 25,59100,PRATO,PO,43.880086,11.09691601
Provincia,CCIAA_2_02 - Ag. Corte Fiorita,PRATOWIFI-153,STRADA COMUNALE DELLA TORRICELLA IL GALLO, 59024,VERNIO, PO,44.05519,11.17915
Provincia,CCIAA_2_03 - Ag. Corboli,PRATOWIFI-154,STRADA COMUNALE S. QUIRICO LA ROCCA 62, 59024, VERNIO,PO,44.0528,11.1634
Provincia,Az Agricola Santo Stefano,PRATOWIFI-155,SANTO STEFANO MONTECUCCOLI,59025,VERNIO,PO,44.0099,11.1769
Provincia,AbitCoop,PRATOWIFI-156,VIA EMILIO BONI 124,59100,PRATO,PO,43.86816,11.10081
Provincia,Biblioteca Roncioniana,PRATOWIFI-152,PIAZZA SAN FRANCESCO 27,59100,PRATO,PO,43.87975,11.09621
Provincia,Sophia SCRL,PRATOWIFI-157,VIA MAZZONI 13,59100,PRATO,PO,43.88606,11.0982
Provincia,La Maglia SRL,PRATOWIFI-158,VIA TRAVERSA DI MAIANO 70,59100,PRATO,PO,43.85068,11.1107
Provincia,ACCENTI SRL - CCIAA2_08,PRATOWIFI-159,VIA GALCIANESE 107/H,59100,PRATO,PO,43.88237,11.0672
Provincia,BIBLIOTECA BASAGLIA VAIANO,PRATOWIFI-17,VIA MAZZINI 27,59021,VAIANO,PO,43.96277,11.12774
Provincia,PARCO DI CANGIONE VAIANO,PRATOWIFI-19,VIA ALDO MORO 6,59021,VAIANO,PO,43.96277,11.12774
Provincia,OBSTOCK01,PRATOWIFI-160,VIA SAN GIUSTO 10C,59100,PRATO,PO,43.87169,11.0726
Provincia,OB STOCK 02,PRATOWIFI-161,VIA SAN GIUSTO 10C,59100,PRATO,PO,43.87169,11.0726
Comune,Stazione al Serraglio,*,Piazza Universit�,59100,Prato,PO,43.8846995,11.098517
Comune,Piazza delle Carceri,*,Piazza delle Carceri,59100,Prato,PO,43.8790819,11.0980106
Comune,Piazza S. Agostino,*,Piazza Sant'Agostino,59100,Prato,PO,43.884012,11.0959864
Comune,Piazza San Marco,*,Piazza San Marco,59100,Prato,PO,43.8777732,11.1017205
Comune,Parco di Galceti Villa Fiorelli,*,Parco di Galceti Villa Fiorelli,59100,Prato,PO,43.9095956,11.0882069
