ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,lat,lon,Location
10837913,JA139947,02-02-2017 21:00,040XX W ADAMS ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1115,11,28,26,6,1149438,1898704,2017,02/14/2017 03:49:42 PM,41.87796462,-87.72676496,"(41.877964619, -87.726764957)"
10837914,JA140147,02-03-2017 11:25,025XX W MADISON ST,330,ROBBERY,AGGRAVATED,ALLEY,FALSE,FALSE,1222,12,2,28,3,1159828,1899934,2017,02/14/2017 03:49:42 PM,41.88113202,-87.68858133,"(41.881132017, -87.688581334)"
10837918,JA140143,02-03-2017 10:00,016XX W 79TH ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE,FALSE,611,6,21,71,18,1166608,1852321,2017,02/14/2017 03:49:42 PM,41.75033427,-87.66504531,"(41.75033427, -87.665045312)"
10837921,JA140180,02-03-2017 11:38,046XX S HALSTED ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,925,9,11,61,6,1171750,1874054,2017,02/14/2017 03:49:42 PM,41.809861,-87.64556572,"(41.809860998, -87.645565723)"
10837922,JA140220,01/17/2017 05:30:00 PM,035XX S COTTAGE GROVE AVE,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,212,2,4,36,6,1181338,1881588,2017,02/14/2017 03:49:42 PM,41.83031892,-87.6101661,"(41.830318923, -87.610166099)"
10837923,JA140194,02-03-2017 11:50,002XX W 43RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,925,9,3,37,08B,1175192,1876464,2017,02/14/2017 03:49:42 PM,41.81639798,-87.63286899,"(41.816397979, -87.632868994)"
10837925,JA140248,02-03-2017 00:00,074XX N CLARK ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,2422,24,49,1,26,1163047,1949438,2017,02/14/2017 03:49:42 PM,42.01690659,-87.67536591,"(42.016906591, -87.675365909)"
10837926,JA140269,02-03-2017 12:10,011XX S CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,123,1,2,32,6,1175696,1895352,2017,02/14/2017 03:49:42 PM,41.86821682,-87.6304532,"(41.86821682, -87.6304532)"
10837928,JA140279,02-03-2017 11:30,095XX S EMERALD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2223,22,21,73,5,1172991,1841521,2017,02/14/2017 03:49:42 PM,41.72055918,-87.64197304,"(41.720559184, -87.641973036)"
10837932,JA131864,01/27/2017 12:12:00 PM,033XX W OGDEN AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,GROCERY FOOD STORE,FALSE,FALSE,1021,10,24,29,26,1154165,1890914,2017,02/14/2017 03:49:42 PM,41.85649503,-87.70961627,"(41.856495025, -87.709616268)"
